4,5,10
90,19,6
3,19,2
12,4,10
14,5,4
70,20,9
30,6,10
45,14,3
35,4,2
21,2,1
96,18,10
58,13,9
72,8,9
25,13,3
51,1,9
78,6,7
69,19,9
12,9,4
43,4,5
76,6,2
76,20,1
83,6,8
2,12,7
93,1,5
41,4,10
38,4,9
33,7,7
29,19,8
85,5,9
59,14,10
68,3,6
63,11,10
96,17,6
23,19,3
63,14,9
65,11,6
28,3,8
60,1,3
45,2,9
13,6,8
59,15,1
93,19,1
95,4,7
84,12,3
93,17,3
71,15,8
64,2,1
57,15,10
62,1,5
92,7,1
16,3,10
100,9,4
53,5,2
6,16,9
51,2,4
63,4,6
7,18,3
55,6,10
24,2,4
69,1,6
44,10,9
11,17,7
66,20,4
28,12,1
93,17,9
22,5,5
68,9,9
82,19,1
87,8,9
73,4,5
79,2,4
90,3,6
95,3,10
6,9,9
55,20,9
47,16,1
39,19,3
86,5,1
90,3,8
53,8,2
47,16,7
32,6,8
53,8,8
21,14,1
9,7,7
70,11,10
28,9,1
57,7,6
79,2,10
95,5,3
21,6,8
61,1,10
22,6,6
15,1,10
68,2,10
93,14,3
76,16,8
48,8,1
82,9,1
31,7,7
