19,2
6,4
86,5
58,20
78,12
79,5
70,18
76,4
12,3
25,7
84,6
100,3
13,11
20,3
11,10
30,5
47,5
70,13
27,11
6,17
37,12
41,18
62,18
10,14
33,13
36,11
28,9
79,7
49,18
34,4
1,11
50,4
81,4
94,11
31,9
99,9
39,15
52,5
64,6
24,8
25,18
38,10
26,14
63,5
54,14
26,20
100,4
51,12
68,9
38,20
15,4
59,19
15,8
58,1
4,10
79,4
54,16
39,18
39,2
14,12
77,4
77,18
37,2
56,18
53,14
50,3
78,8
25,6
4,9
80,12
65,5
55,9
28,2
53,16
64,13
53,8
21,16
91,15
96,3
21,13
12,5
95,4
90,8
16,6
5,5
48,20
5,12
5,12
3,4
14,4
68,5
36,13
7,7
76,8
35,12
11,15
60,4
13,2
11,13
28,6
